age_group,health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date
0-9,Alexandria,150,0,2,2020-07-23 00:00:00
10-19,Alexandria,194,0,4,2020-07-23 00:00:00
20-29,Alexandria,440,1,10,2020-07-23 00:00:00
30-39,Alexandria,605,0,32,2020-07-23 00:00:00
40-49,Alexandria,486,0,41,2020-07-23 00:00:00
50-59,Alexandria,338,10,52,2020-07-23 00:00:00
60-69,Alexandria,216,2,48,2020-07-23 00:00:00
70-79,Alexandria,105,18,39,2020-07-23 00:00:00
80+,Alexandria,94,25,28,2020-07-23 00:00:00
Missing,Alexandria,11,0,0,2020-07-23 00:00:00
0-9,Alleghany,16,0,0,2020-07-23 00:00:00
10-19,Alleghany,97,0,0,2020-07-23 00:00:00
20-29,Alleghany,133,0,1,2020-07-23 00:00:00
30-39,Alleghany,102,0,2,2020-07-23 00:00:00
40-49,Alleghany,105,0,2,2020-07-23 00:00:00
50-59,Alleghany,100,1,6,2020-07-23 00:00:00
60-69,Alleghany,73,1,8,2020-07-23 00:00:00
70-79,Alleghany,70,7,8,2020-07-23 00:00:00
80+,Alleghany,44,6,10,2020-07-23 00:00:00
Missing,Alleghany,2,0,0,2020-07-23 00:00:00
0-9,Arlington,57,0,2,2020-07-23 00:00:00
10-19,Arlington,131,0,5,2020-07-23 00:00:00
20-29,Arlington,530,0,22,2020-07-23 00:00:00
30-39,Arlington,506,0,43,2020-07-23 00:00:00
40-49,Arlington,464,8,51,2020-07-23 00:00:00
50-59,Arlington,402,6,68,2020-07-23 00:00:00
60-69,Arlington,296,19,82,2020-07-23 00:00:00
70-79,Arlington,177,33,73,2020-07-23 00:00:00
80+,Arlington,202,69,84,2020-07-23 00:00:00
Missing,Arlington,11,0,1,2020-07-23 00:00:00
0-9,Central Shenandoah,67,0,0,2020-07-23 00:00:00
10-19,Central Shenandoah,147,0,1,2020-07-23 00:00:00
20-29,Central Shenandoah,481,0,10,2020-07-23 00:00:00
30-39,Central Shenandoah,371,0,8,2020-07-23 00:00:00
40-49,Central Shenandoah,408,0,15,2020-07-23 00:00:00
50-59,Central Shenandoah,422,4,35,2020-07-23 00:00:00
60-69,Central Shenandoah,305,14,47,2020-07-23 00:00:00
70-79,Central Shenandoah,154,13,47,2020-07-23 00:00:00
80+,Central Shenandoah,128,18,34,2020-07-23 00:00:00
Missing,Central Shenandoah,1,0,0,2020-07-23 00:00:00
0-9,Central Virginia,12,0,0,2020-07-23 00:00:00
10-19,Central Virginia,87,0,1,2020-07-23 00:00:00
20-29,Central Virginia,169,0,2,2020-07-23 00:00:00
30-39,Central Virginia,103,0,1,2020-07-23 00:00:00
40-49,Central Virginia,102,0,1,2020-07-23 00:00:00
50-59,Central Virginia,105,2,2,2020-07-23 00:00:00
60-69,Central Virginia,71,2,4,2020-07-23 00:00:00
70-79,Central Virginia,39,2,4,2020-07-23 00:00:00
80+,Central Virginia,29,0,3,2020-07-23 00:00:00
Missing,Central Virginia,1,0,0,2020-07-23 00:00:00
0-9,Chesapeake,55,0,1,2020-07-23 00:00:00
10-19,Chesapeake,119,0,1,2020-07-23 00:00:00
20-29,Chesapeake,383,0,4,2020-07-23 00:00:00
30-39,Chesapeake,373,0,14,2020-07-23 00:00:00
40-49,Chesapeake,276,1,31,2020-07-23 00:00:00
50-59,Chesapeake,257,1,32,2020-07-23 00:00:00
60-69,Chesapeake,171,5,34,2020-07-23 00:00:00
70-79,Chesapeake,105,3,32,2020-07-23 00:00:00
80+,Chesapeake,88,14,29,2020-07-23 00:00:00
Missing,Chesapeake,40,0,1,2020-07-23 00:00:00
0-9,Chesterfield,143,0,1,2020-07-23 00:00:00
10-19,Chesterfield,365,0,0,2020-07-23 00:00:00
20-29,Chesterfield,687,0,10,2020-07-23 00:00:00
30-39,Chesterfield,740,0,14,2020-07-23 00:00:00
40-49,Chesterfield,678,3,30,2020-07-23 00:00:00
50-59,Chesterfield,518,4,45,2020-07-23 00:00:00
60-69,Chesterfield,341,12,58,2020-07-23 00:00:00
70-79,Chesterfield,152,22,32,2020-07-23 00:00:00
80+,Chesterfield,159,47,35,2020-07-23 00:00:00
Missing,Chesterfield,102,0,0,2020-07-23 00:00:00
0-9,Chickahominy,20,0,0,2020-07-23 00:00:00
10-19,Chickahominy,63,0,0,2020-07-23 00:00:00
20-29,Chickahominy,124,0,1,2020-07-23 00:00:00
30-39,Chickahominy,113,0,3,2020-07-23 00:00:00
40-49,Chickahominy,110,1,13,2020-07-23 00:00:00
50-59,Chickahominy,138,1,23,2020-07-23 00:00:00
60-69,Chickahominy,91,6,22,2020-07-23 00:00:00
70-79,Chickahominy,68,6,21,2020-07-23 00:00:00
80+,Chickahominy,84,26,35,2020-07-23 00:00:00
Missing,Chickahominy,15,0,0,2020-07-23 00:00:00
0-9,Crater,31,0,1,2020-07-23 00:00:00
10-19,Crater,85,0,0,2020-07-23 00:00:00
20-29,Crater,298,0,9,2020-07-23 00:00:00
30-39,Crater,328,0,9,2020-07-23 00:00:00
40-49,Crater,269,1,18,2020-07-23 00:00:00
50-59,Crater,326,3,36,2020-07-23 00:00:00
60-69,Crater,272,16,53,2020-07-23 00:00:00
70-79,Crater,164,18,40,2020-07-23 00:00:00
80+,Crater,127,12,26,2020-07-23 00:00:00
Missing,Crater,14,0,0,2020-07-23 00:00:00
