health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date
Alexandria,2639,56,256,2020-07-23 00:00:00
Alleghany,742,15,37,2020-07-23 00:00:00
Arlington,2776,135,431,2020-07-23 00:00:00
Central Shenandoah,2484,49,197,2020-07-23 00:00:00
Central Virginia,718,6,18,2020-07-23 00:00:00
Chesapeake,1867,24,179,2020-07-23 00:00:00
Chesterfield,3885,88,225,2020-07-23 00:00:00
Chickahominy,826,40,118,2020-07-23 00:00:00
Crater,1914,50,192,2020-07-23 00:00:00
Cumberland Plateau,164,0,10,2020-07-23 00:00:00
Eastern Shore,1348,43,120,2020-07-23 00:00:00
Fairfax,15255,524,1816,2020-07-23 00:00:00
Hampton,786,4,46,2020-07-23 00:00:00
Henrico,3139,177,300,2020-07-23 00:00:00
Lenowisco,157,5,23,2020-07-23 00:00:00
Lord Fairfax,2372,82,207,2020-07-23 00:00:00
Loudoun,4758,106,325,2020-07-23 00:00:00
Mount Rogers,1015,37,98,2020-07-23 00:00:00
New River,359,6,25,2020-07-23 00:00:00
Norfolk,2489,20,152,2020-07-23 00:00:00
Peninsula,2151,39,156,2020-07-23 00:00:00
Piedmont,1198,19,116,2020-07-23 00:00:00
Pittsylvania-Danville,482,5,57,2020-07-23 00:00:00
Portsmouth,1115,21,107,2020-07-23 00:00:00
Prince William,10353,192,924,2020-07-23 00:00:00
Rappahannock,2961,49,265,2020-07-23 00:00:00
Rappahannock Rapidan,1741,25,129,2020-07-23 00:00:00
Richmond,2670,35,263,2020-07-23 00:00:00
Roanoke,684,10,15,2020-07-23 00:00:00
Southside,559,32,62,2020-07-23 00:00:00
Thomas Jefferson,1505,30,129,2020-07-23 00:00:00
Three Rivers,900,12,63,2020-07-23 00:00:00
Virginia Beach,3030,39,174,2020-07-23 00:00:00
Western Tidewater,1427,69,117,2020-07-23 00:00:00
West Piedmont,768,10,85,2020-07-23 00:00:00
Alexandria,2618,56,256,2020-07-22 00:00:00
Alleghany,733,15,37,2020-07-22 00:00:00
Arlington,2763,135,431,2020-07-22 00:00:00
Central Shenandoah,2469,49,193,2020-07-22 00:00:00
Central Virginia,711,6,18,2020-07-22 00:00:00
Chesapeake,1850,24,176,2020-07-22 00:00:00
Chesterfield,3837,88,218,2020-07-22 00:00:00
Chickahominy,816,40,117,2020-07-22 00:00:00
Crater,1887,50,192,2020-07-22 00:00:00
Cumberland Plateau,160,0,10,2020-07-22 00:00:00
Eastern Shore,1342,43,120,2020-07-22 00:00:00
Fairfax,15206,523,1812,2020-07-22 00:00:00
Hampton,772,4,43,2020-07-22 00:00:00
Henrico,3112,177,295,2020-07-22 00:00:00
Lenowisco,145,5,22,2020-07-22 00:00:00
Lord Fairfax,2370,82,205,2020-07-22 00:00:00
Loudoun,4738,106,324,2020-07-22 00:00:00
Mount Rogers,997,37,97,2020-07-22 00:00:00
New River,351,6,25,2020-07-22 00:00:00
Norfolk,2389,20,149,2020-07-22 00:00:00
Peninsula,2104,39,151,2020-07-22 00:00:00
Piedmont,1192,19,115,2020-07-22 00:00:00
Pittsylvania-Danville,462,5,56,2020-07-22 00:00:00
Portsmouth,1085,21,103,2020-07-22 00:00:00
Prince William,10287,192,909,2020-07-22 00:00:00
Rappahannock,2923,48,260,2020-07-22 00:00:00
Rappahannock Rapidan,1732,25,128,2020-07-22 00:00:00
Richmond,2643,35,261,2020-07-22 00:00:00
Roanoke,679,10,15,2020-07-22 00:00:00
Southside,554,32,60,2020-07-22 00:00:00
Thomas Jefferson,1458,30,124,2020-07-22 00:00:00
Three Rivers,897,12,61,2020-07-22 00:00:00
Virginia Beach,2968,39,170,2020-07-22 00:00:00
Western Tidewater,1386,69,113,2020-07-22 00:00:00
West Piedmont,757,9,85,2020-07-22 00:00:00
Alexandria,2662,56,262,2020-07-24 00:00:00
Alleghany,755,15,37,2020-07-24 00:00:00
Arlington,2783,135,431,2020-07-24 00:00:00
Central Shenandoah,2505,50,199,2020-07-24 00:00:00
Central Virginia,738,6,19,2020-07-24 00:00:00
Chesapeake,1953,24,180,2020-07-24 00:00:00
Chesterfield,3954,89,227,2020-07-24 00:00:00
Chickahominy,838,40,118,2020-07-24 00:00:00
Crater,1941,50,194,2020-07-24 00:00:00
Cumberland Plateau,169,1,10,2020-07-24 00:00:00
Eastern Shore,1351,43,121,2020-07-24 00:00:00
Fairfax,15359,526,1857,2020-07-24 00:00:00
Hampton,822,4,48,2020-07-24 00:00:00
Henrico,3190,177,300,2020-07-24 00:00:00
Lenowisco,164,6,23,2020-07-24 00:00:00
Lord Fairfax,2395,82,207,2020-07-24 00:00:00
Loudoun,4769,106,326,2020-07-24 00:00:00
Mount Rogers,1057,39,99,2020-07-24 00:00:00
New River,363,6,25,2020-07-24 00:00:00
Norfolk,2582,20,155,2020-07-24 00:00:00
Peninsula,2231,39,156,2020-07-24 00:00:00
Piedmont,1200,19,116,2020-07-24 00:00:00
Pittsylvania-Danville,487,5,57,2020-07-24 00:00:00
Portsmouth,1165,21,107,2020-07-24 00:00:00
Prince William,10411,194,928,2020-07-24 00:00:00
Rappahannock,2973,49,266,2020-07-24 00:00:00
Rappahannock Rapidan,1749,25,130,2020-07-24 00:00:00
Richmond,2686,36,265,2020-07-24 00:00:00
Roanoke,690,10,15,2020-07-24 00:00:00
Southside,571,32,62,2020-07-24 00:00:00
Thomas Jefferson,1551,30,129,2020-07-24 00:00:00
Three Rivers,909,12,63,2020-07-24 00:00:00
Virginia Beach,3119,41,177,2020-07-24 00:00:00
Western Tidewater,1477,69,120,2020-07-24 00:00:00
West Piedmont,795,10,86,2020-07-24 00:00:00
Alexandria,2687,57,264,2020-07-25 00:00:00
Alleghany,756,15,37,2020-07-25 00:00:00
Arlington,2801,135,431,2020-07-25 00:00:00
Central Shenandoah,2534,50,199,2020-07-25 00:00:00
Central Virginia,769,6,19,2020-07-25 00:00:00
Chesapeake,2079,24,181,2020-07-25 00:00:00
Chesterfield,3984,89,233,2020-07-25 00:00:00
Chickahominy,852,40,121,2020-07-25 00:00:00
Crater,1959,50,196,2020-07-25 00:00:00
Cumberland Plateau,178,1,11,2020-07-25 00:00:00
Eastern Shore,1353,43,121,2020-07-25 00:00:00
Fairfax,15394,528,1869,2020-07-25 00:00:00
Hampton,848,4,48,2020-07-25 00:00:00
Henrico,3261,177,301,2020-07-25 00:00:00
Lenowisco,171,6,26,2020-07-25 00:00:00
Lord Fairfax,2408,82,209,2020-07-25 00:00:00
Loudoun,4796,106,325,2020-07-25 00:00:00
Mount Rogers,1083,39,100,2020-07-25 00:00:00
New River,369,6,26,2020-07-25 00:00:00
Norfolk,2661,20,157,2020-07-25 00:00:00
Peninsula,2278,40,158,2020-07-25 00:00:00
Piedmont,1213,19,116,2020-07-25 00:00:00
Pittsylvania-Danville,504,5,57,2020-07-25 00:00:00
