NAMELABEL,ALLFIPS,LAST_UPDATE,Total,F_0_9,M_0_9,T_0_9,F_10_19,M_10_19,T_10_19,F_20_29,M_20_29,T_20_29,F_30_39,M_30_39,T_30_39,F_40_49,M_40_49,T_40_49,F_50_59,M_50_59,T_50_59,F_60_69,M_60_69,T_60_69,F_70_79,M_70_79,T_70_79,F_80_89,M_80_89,T_80_89,F_90_99,M_90_99,T_90_99,F_100,M_100,T_100,Notes,Scrape_Time
Flathead,30029,2019-02-06 19:00:00,36,0,0,0,1,0,1,4,2,6,3,3,6,5,3,8,3,4,7,1,0,1,3,3,6,0,1,1,0,0,0,0,0,0,"One reported case of an out of state resident, male 50-59",2020-04-13 23:50:46.404309
Ravalli,30081,2009-12-30 19:00:00,5,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,2020-04-13 23:50:46.404309
Glacier,30035,2009-12-30 19:00:00,4,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,2020-04-13 23:50:46.404309
Toole,30101,2009-12-30 19:00:00,26,0,0,0,1,0,1,3,0,3,2,0,2,2,0,2,3,1,4,2,1,3,1,2,3,5,0,5,3,0,3,0,0,0,,2020-04-13 23:50:46.404309
Yellowstone,30111,2016-10-14 20:00:00,59,0,0,0,0,2,2,8,7,15,2,4,6,4,6,10,6,6,12,4,4,8,1,2,3,1,2,3,0,0,0,0,0,0,,2020-04-13 23:50:46.404309
Beaverhead,30001,2009-12-30 19:00:00,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-04-13 23:50:46.404309
Big Horn,30003,2016-10-14 20:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-04-13 23:50:46.404309
Broadwater,30007,2015-09-08 20:00:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,,2020-04-13 23:50:46.404309
Carbon,30009,2016-10-14 20:00:00,6,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,2020-04-13 23:50:46.404309
Cascade,30013,2015-03-30 20:00:00,13,0,0,0,0,0,0,2,0,2,0,2,2,0,1,1,3,2,5,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,,2020-04-13 23:50:46.404309
Deer Lodge,30023,2015-09-08 20:00:00,3,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-04-13 23:50:46.404309
Gallatin,30031,2019-02-06 19:00:00,138,0,1,1,2,1,3,19,16,35,13,14,27,11,8,19,8,11,19,8,17,25,5,2,7,2,0,2,0,0,0,0,0,0,"Male in 60s is California resident, Male in 20s is New Hampshire resident",2020-04-13 23:50:46.404309
Golden Valley,30037,2015-03-30 20:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,2020-04-13 23:50:46.404309
Hill,30041,2009-12-30 19:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,2020-04-13 23:50:46.404309
Jefferson,30043,2015-09-08 20:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-04-13 23:50:46.404309
Lake,30047,2019-02-06 19:00:00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,3,1,0,1,0,0,0,0,0,0,0,0,0,MT resident was exposed and isolated in Maryland,2020-04-13 23:50:46.404309
Lewis and Clark,30049,2019-02-06 19:00:00,16,0,0,0,0,1,1,1,0,1,2,2,4,1,2,3,1,2,3,1,1,2,0,2,2,0,0,0,0,0,0,0,0,0,,2020-04-13 23:50:46.404309
Liberty,30051,2009-12-30 19:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,2020-04-13 23:50:46.404309
Lincoln,30053,2009-12-30 19:00:00,7,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,2,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,,2020-04-13 23:50:46.404309
Madison,30057,2019-02-06 19:00:00,8,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,2,1,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,,2020-04-13 23:50:46.404309
