# Cases Age [0-4],# Cases Age [18-24],# Cases Age [25-49],# Cases Age [5-17],# Cases Age [50-64],# Cases Age [>= 65],# Cases Race/Ethnicity: Asian,# Cases Race/Ethnicity: Black,# Cases Race/Ethnicity: Hispanic/Latino,# Cases Race/Ethnicity: Not Hispanic/Latino,# Cases Race/Ethnicity: Other Race,# Cases Race/Ethnicity: Unknown Ethnicity,# Cases Race/Ethnicity: Unknown Race,# Cases Race/Ethnicity: White,# Deaths Age [0-4],# Deaths Age [18-24],# Deaths Age [25-49],# Deaths Age [50-64],# Deaths Age [>= 65],# Deaths Race/Ethnicity: Asian,# Deaths Race/Ethnicity: Black,# Deaths Race/Ethnicity: Hispanic/Latino,# Deaths Race/Ethnicity: Not Hispanic/Latino,# Deaths Race/Ethnicity: Other Race,# Deaths Race/Ethnicity: Unknown Ethnicity,# Deaths Race/Ethnicity: Unknown Race,# Deaths Race/Ethnicity: White,Scrape Time,Total Cases: Female,Total Cases: Male,Total Cases: Unknown Sex,Total Deaths: Female,Total Deaths: Male,Total Deaths: Unknown Sex
2355,17015,45986,8341,23701,19754,451,30682,7039,55850,7386,54263,40695,37938,3,4,98,370,1608,6,840,61,1763,46,259,79,1112,2020-08-31 21:11:39.083446,65065,50775,1312,998,1079,1
2366,17257,46262,8394,23875,19980,457,30827,7079,56325,7450,54730,41034,38366,3,4,98,372,1625,7,844,62,1777,47,263,80,1124,2020-09-01 19:52:24.944418,65575,51245,1314,1005,1090,1
2371,17324,46276,8411,23890,19948,459,30899,7099,56644,7512,54477,40736,38614,3,4,98,373,1636,7,849,63,1789,47,262,79,1132,2020-09-02 20:00:26.704432,65637,51276,1307,1012,1095,1
2386,17438,46321,8473,23949,20034,461,30972,7113,56984,7557,54504,40702,38909,3,4,98,375,1640,7,849,64,1796,47,260,79,1138,2020-09-03 20:48:23.792690,65870,51438,1293,1016,1097,1
2403,17590,46492,8550,24089,20165,471,31120,7127,57437,7617,54725,40776,39305,3,4,100,381,1656,7,856,64,1818,48,262,79,1154,2020-09-04 20:48:26.257980,66204,51746,1339,1030,1107,1
2419,17804,46784,8633,24242,20445,479,31276,7172,57933,7712,55222,41139,39721,3,4,102,382,1660,7,859,64,1826,48,261,78,1159,2020-09-05 20:06:41.237105,66805,52171,1351,1034,1110,1
2437,17929,46945,8696,24339,20469,479,31332,7175,58036,7847,55604,41315,39842,3,4,102,382,1661,7,859,64,1826,48,262,79,1159,2020-09-06 20:05:35.440807,67081,52377,1357,1034,1111,1
2446,18110,47184,8776,24484,20474,480,31396,7185,58156,7965,56133,41682,39951,3,4,102,382,1661,7,859,64,1826,48,262,79,1159,2020-09-07 20:22:09.640468,67445,52669,1360,1034,1111,1
2446,18111,47185,8776,24484,20877,480,31396,7185,58156,7965,56538,42087,39951,3,4,102,382,1662,7,860,64,1827,48,262,79,1159,2020-09-08 19:57:51.062494,67641,52877,1361,1034,1112,1
2457,18324,47547,8876,24721,20655,485,31609,7235,58834,8204,56511,41758,40524,3,4,102,384,1668,7,861,64,1835,48,262,79,1166,2020-09-09 20:02:50.435024,68018,53196,1366,1036,1118,1
2470,18441,47776,8938,24875,20767,486,31772,7266,59434,8312,56567,41681,41016,3,4,103,387,1679,7,866,64,1849,48,263,80,1175,2020-09-10 20:23:14.062624,68394,53490,1383,1045,1124,1
2486,18571,48049,9029,25024,20938,489,31887,7288,59847,8479,56962,41895,41347,3,4,105,391,1701,8,876,64,1879,48,261,77,1195,2020-09-11 20:23:27.512331,68832,53855,1410,1057,1140,1
2499,18697,48305,9119,25182,21021,492,31997,7312,60200,8615,57311,42063,41656,4,4,105,393,1711,8,878,64,1888,50,265,78,1203,2020-09-12 20:04:26.155026,69231,54151,1441,1062,1148,1
2522,18859,48638,9231,25364,21181,497,32086,7323,60356,8776,58116,42591,41845,4,4,105,393,1712,8,878,64,1889,50,265,78,1204,2020-09-13 20:00:55.664378,69744,54561,1490,1063,1148,1
2531,18936,48836,9285,25469,21242,497,32129,7334,60498,8936,58467,42768,41969,4,4,105,395,1713,8,881,64,1892,50,265,78,1204,2020-09-14 20:03:29.731195,70006,54800,1493,1065,1149,1
2528,18923,48829,9281,25461,21791,495,32130,7336,60484,8927,58993,43312,41949,4,4,107,400,1738,8,889,64,1913,51,276,78,1227,2020-09-16 09:10:58.121346,70246,55088,1479,1083,1163,1
2560,19129,49256,9450,25699,21429,501,32325,7389,61304,9191,58830,42854,42652,4,4,107,401,1741,8,893,64,1921,52,272,74,1230,2020-09-16 20:11:43.471696,70607,55421,1495,1085,1165,1
2569,19218,49463,9508,25818,21521,503,32414,7400,61629,9367,59068,42880,42933,4,4,108,402,1746,8,894,64,1926,52,274,76,1234,2020-09-17 20:13:37.285417,70912,55667,1518,1089,1168,1
2583,19290,49665,9606,25956,21718,506,32528,7419,61985,9430,59414,43094,43260,4,4,110,405,1761,8,900,65,1939,52,280,78,1246,2020-09-18 20:04:40.294860,71309,55974,1535,1099,1178,1
2605,19519,50063,9754,26182,21851,513,32716,7466,62425,9578,60083,43355,43812,4,4,110,405,1767,8,902,65,1942,52,283,80,1248,2020-09-19 20:55:47.518431,71900,56524,1550,1101,1182,1
2616,19605,50292,9844,26335,21959,513,32759,7469,62555,9758,60627,43696,43925,4,4,110,405,1767,8,902,65,1942,52,283,80,1248,2020-09-20 19:29:20.206980,72276,56824,1551,1101,1182,1
2631,19702,50582,9918,26500,22072,515,32839,7484,62673,9910,61248,43996,44145,4,4,110,405,1769,8,903,65,1944,52,283,80,1249,2020-09-21 20:41:14.332464,72645,57200,1560,1102,1183,1
2643,19774,50790,9980,26650,22151,519,33000,7511,63161,10036,61316,43905,44528,4,4,111,409,1776,8,906,67,1950,53,287,83,1254,2020-09-22 20:15:51.380433,72966,57462,1560,1106,1191,1
2651,19820,50957,10056,26745,22223,520,33100,7529,63593,10165,61330,43798,44869,4,4,112,414,1801,8,921,67,1977,54,291,83,1269,2020-09-23 20:04:51.861007,73218,57668,1566,1121,1207,1
2677,19925,51296,10180,26946,22409,524,33255,7561,64097,10244,61775,44125,45285,4,4,115,415,1811,8,925,68,1989,53,292,85,1278,2020-09-24 20:07:40.477138,73762,58077,1594,1127,1215,1
2694,20001,51561,10294,27116,22565,529,33402,7586,64615,10378,62030,44187,45735,4,5,115,417,1816,8,927,68,1999,54,290,87,1281,2020-09-25 20:52:34.594359,74208,58412,1611,1132,1218,1
